Firm,Day,@TPP,@TPP adj,@TPP reported
SMS Morgan,146,52.989,52.303,51.5
Redbridge,145,54.077,54.269,54.0
SMS Morgan,160,52.858,52.172,51.5
SMS Morgan,173,52.792,52.106,51.5
YouGov,198,55.476,55.47,55.0
SMS Morgan,201,58.692,58.007,58.5
ResolvePM,407,53.28,53.497,nan
Redbridge,418,51.758,51.95,52.4
ResolvePM,468,55.582,55.799,nan
ResolvePM,529,55.059,55.276,nan
SMS Morgan,567,59.169,58.483,58.0
Newspoll2,573,57.446,57.44,58.0
SMS Morgan,580,60.663,59.978,59.5
ResolvePM,601,58.386,58.603,nan
ResolvePM,710,54.987,55.166,nan
SMS Morgan,799,60.433,59.223,59.5
SMS Morgan,841,60.55,59.209,60.5
Newspoll2,853,56.577,57.133,56.0
Essential,863,55.417,56.207,nan
Morgan multi-mode,844,58.175,56.592,58.0
ResolvePM,864,60.698,60.159,nan
Morgan multi-mode,875,61.619,60.036,60.0
Morgan multi-mode,905,62.036,60.453,60.5
ResolvePM,913,57.271,56.732,59.0
Newspoll2,923,54.055,54.61,54.0
Freshwater,926,55.859,55.705,56.0
SMS Morgan,931,58.955,57.614,57.0
Redbridge,924,54.712,54.807,53.5
ResolvePM2,939,53.292,53.64,52.7
SMS Morgan,944,56.615,55.274,55.0
Newspoll2,944,55.22,55.776,54.5
